"0000010201 - מס הכנסה שכירים","32700000","32700000","32781824","81824","100.300078125","81824","100.300078125"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","32700000","32700000","32781824","81824","100.300078125","81824","100.300078125"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","20000000","20000000","38299734","18299734","191.5","18299734","191.5"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","7900000","7900000","179","-7899821","0","-7899821","0"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","8300000","8300000","","-8300000","0","-8300000","0"," "," "," "," "," "," "
"0000010304 - הכנסות משוק ההון","2100000","2100000","","-2100000","0","-2100000","0"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","38300000","38300000","38299913","-87","100","-87","100"," "," "," "," "," "," "
"000001 - מס הכנסה","71000000","71000000","71081737","81737","100.100078125","81737","100.100078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","8100000","8100000","7737346","-362654","95.5","-362654","95.5"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","8100000","8100000","7737346","-362654","95.5","-362654","95.5"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","1900000","1900000","2251371","351371","118.5","351371","118.5"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","1900000","1900000","2251371","351371","118.5","351371","118.5"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","10000000","10000000","9988717","-11283","99.900078125","-11283","99.900078125"," "," "," "," "," "," "
"0000030101 - מס שבח","1600000","1600000","1979638","379638","123.700078125","379638","123.700078125"," "," "," "," "," "," "
"00000301 - מס שבח","1600000","1600000","1979638","379638","123.700078125","379638","123.700078125"," "," "," "," "," "," "
"000003 - מס שבח","1600000","1600000","1979638","379638","123.700078125","379638","123.700078125"," "," "," "," "," "," "
"0000040101 - מס רכישה","1955000","1955000","2937591","982591","150.300078125","982591","150.300078125"," "," "," "," "," "," "
"00000401 - מס רכישה","1955000","1955000","2937591","982591","150.300078125","982591","150.300078125"," "," "," "," "," "," "
"000004 - מס רכישה","1955000","1955000","2937591","982591","150.300078125","982591","150.300078125"," "," "," "," "," "," "
"0000050101 - מס רכוש","45000","45000","47179","2179","104.800078125","2179","104.800078125"," "," "," "," "," "," "
"00000501 - מס רכוש","45000","45000","47179","2179","104.800078125","2179","104.800078125"," "," "," "," "," "," "
"000005 - מס רכוש","45000","45000","47179","2179","104.800078125","2179","104.800078125"," "," "," "," "," "," "
"0000060101 - מס מכירה","","","52851","52851","","52851",""," "," "," "," "," "," "
"00000601 - מס מכירה","","","52851","52851","","52851",""," "," "," "," "," "," "
"000006 - מס מכירה","","","52851","52851","","52851",""," "," "," "," "," "," "
"0000070101 - מס מעסיקים","200000","200000","308559","108559","154.300078125","108559","154.300078125"," "," "," "," "," "," "
"00000701 - מס מעסיקים","200000","200000","308559","108559","154.300078125","108559","154.300078125"," "," "," "," "," "," "
"000007 - מס מעסיקים","200000","200000","308559","108559","154.300078125","108559","154.300078125"," "," "," "," "," "," "
"0000110101 - מכס והיטל על היבוא","2400000","2400000","2408795","8795","100.400078125","8795","100.400078125"," "," "," "," "," "," "
"00001101 - מכס והיטל על היבוא","2400000","2400000","2408795","8795","100.400078125","8795","100.400078125"," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","2400000","2400000","2408795","8795","100.400078125","8795","100.400078125"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","11200000","11200000","12502096","1302096","111.600078125","1302096","111.600078125"," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","11200000","11200000","12502096","1302096","111.600078125","1302096","111.600078125"," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","200000","200000","229289","29289","114.600078125","29289","114.600078125"," "," "," "," "," "," "
"00001303 - מס קניה מקומי","200000","200000","229289","29289","114.600078125","29289","114.600078125"," "," "," "," "," "," "
"000013 - מס קניה","11400000","11400000","12731385","1331385","111.700078125","1331385","111.700078125"," "," "," "," "," "," "
"0000140201 - מע""מ ייצור מקומי","56500000","56500000","29298929","-27201071","51.9000390625","-27201071","51.9000390625"," "," "," "," "," "," "
"0000140202 - מע""מ ייבוא אזרחי","","","28654417","28654417","","28654417",""," "," "," "," "," "," "
"0000140203 - מע""מ ייבוא בטחוני","989780","989780","1181294","191514","119.300078125","191514","119.300078125"," "," "," "," "," "," "
"00001402 - תקבולי מע""מ נטו","57489780","57489780","59134639","1644859","102.900078125","1644859","102.900078125"," "," "," "," "," "," "
"000014 - תקבולי מע""מ ברוטו","57489780","57489780","59134639","1644859","102.900078125","1644859","102.900078125"," "," "," "," "," "," "
"0000150101 - מס טבק - בלו","800000","800000","763893","-36107","95.5","-36107","95.5"," "," "," "," "," "," "
"00001501 - מס טבק - בלו","800000","800000","763893","-36107","95.5","-36107","95.5"," "," "," "," "," "," "
"000015 - מס טבק - בלו","800000","800000","763893","-36107","95.5","-36107","95.5"," "," "," "," "," "," "
"0000180101 - מס דלק","12500000","12500000","14489950","1989950","115.900078125","1989950","115.900078125"," "," "," "," "," "," "
"0000180103 - מס על סולר","","","-1775518","-1775518","","-1775518",""," "," "," "," "," "," "
"00001801 - מס דלק","12500000","12500000","12714431","214431","101.700078125","214431","101.700078125"," "," "," "," "," "," "
"000018 - מס דלק","12500000","12500000","12714431","214431","101.700078125","214431","101.700078125"," "," "," "," "," "," "
"0000200101 - מס בולים","","","19680","19680","","19680",""," "," "," "," "," "," "
"00002001 - מס בולים","","","19680","19680","","19680",""," "," "," "," "," "," "
"000020 - מס בולים","","","19680","19680","","19680",""," "," "," "," "," "," "
"0000240101 - אגרות כלי רכב","","","1548132","1548132","","1548132",""," "," "," "," "," "," "
"00002401 - אגרות כלי רכב","","","1548132","1548132","","1548132",""," "," "," "," "," "," "
"000024 - אגרות כלי רכב","","","1548132","1548132","","1548132",""," "," "," "," "," "," "
"0000250101 - אגרות, קנסות ורשיונות","","","2155055","2155055","","2155055",""," "," "," "," "," "," "
"0000250102 - קנסות","","","283909","283909","","283909",""," "," "," "," "," "," "
"00002501 - אגרות קנסות ורשיונות","","","2438964","2438964","","2438964",""," "," "," "," "," "," "
"0000250201 - אגרות בתי משפט","","","214683","214683","","214683",""," "," "," "," "," "," "
"00002502 - אגרות בתי משפט","","","214683","214683","","214683",""," "," "," "," "," "," "
"0000250301 - אגרות תדרים","","","282164","282164","","282164",""," "," "," "," "," "," "
"00002503 - אגרות תדרים","","","282164","282164","","282164",""," "," "," "," "," "," "
"0000250501 - רשיון שנתי לבנקים","","","26015","26015","","26015",""," "," "," "," "," "," "
"00002505 - רשיון שנתי לבנקים","","","26015","26015","","26015",""," "," "," "," "," "," "
"0000250601 - אגרות לרישוי סוכני בטוח","","","9451","9451","","9451",""," "," "," "," "," "," "
"00002506 - אגרות לרישוי סוכני בטוח","","","9451","9451","","9451",""," "," "," "," "," "," "
